repeat,frozen_manifest_sha256,case_index,instance,num_logical_qubits,num_physical_qubits,topology,routing_cx_count,smpr_wall_ms,smpr_peak_rss_bytes,smpr_swap,smpr_depth,smpr_branch,smpr_label,smpr_attempts,internal_lightsabre_swap,internal_lightsabre_depth,internal_lightsabre_budget_ms,independent_rollout_swap,independent_rollout_depth,cross_layout_attempts,variant,routing_trace_valid,topology_valid,safe_quality_floor,budget_multiplier,lightsabre_elapsed_ms,lightsabre_trials,lightsabre_swap,lightsabre_depth,lightsabre_best_seed,lightsabre_peak_rss_bytes,swap_gap_smpr_minus_lightsabre
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,48837.74310001172,75182080,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,512.9395996918902,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,24429.988599964418,980,91,497,894,52805632,1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,48837.74310001172,75182080,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,512.9395996918902,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,48853.533899993636,1920,90,497,1251,52805632,2
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,48837.74310001172,75182080,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,512.9395996918902,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,97689.51139994897,3843,90,446,3830,52805632,2
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2646.4858000399545,59387904,0,172,lightsabre,lightsabre:seed1,31,0,172,182.81579995527864,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.25,671.9889000523835,53,0,172,1,59797504,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2646.4858000399545,59387904,0,172,lightsabre,lightsabre:seed1,31,0,172,182.81579995527864,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.5,1324.2654000641778,103,0,172,1,59797504,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2646.4858000399545,59387904,0,172,lightsabre,lightsabre:seed1,31,0,172,182.81579995527864,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,1.0,2656.367899966426,210,0,172,1,59797504,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2646.4858000399545,59387904,0,172,lightsabre,lightsabre:seed1,31,0,172,182.81579995527864,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,2.0,5297.462800052017,411,0,172,1,59797504,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5631.7427000030875,59518976,36,241,independent_rollout,native:early,26,42,267,265.404200181365,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,1409.5062999986112,105,37,260,85,56193024,-1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5631.7427000030875,59518976,36,241,independent_rollout,native:early,26,42,267,265.404200181365,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,2818.2579000713304,216,37,260,85,56193024,-1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5631.7427000030875,59518976,36,241,independent_rollout,native:early,26,42,267,265.404200181365,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,5643.204500083812,427,37,260,85,56193024,-1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5631.7427000030875,59518976,36,241,independent_rollout,native:early,26,42,267,265.404200181365,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,11264.157900004648,847,37,260,85,56193024,-1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,789.5988000091165,54706176,14,64,lightsabre,lightsabre:seed12,26,14,64,139.07960010692477,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,200.33510006032884,25,14,64,12,54845440,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,789.5988000091165,54706176,14,64,lightsabre,lightsabre:seed12,26,14,64,139.07960010692477,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,399.8362000565976,51,14,64,12,54845440,0
