repeat,frozen_manifest_sha256,case_index,instance,num_logical_qubits,num_physical_qubits,topology,routing_cx_count,smpr_wall_ms,smpr_peak_rss_bytes,smpr_swap,smpr_depth,smpr_branch,smpr_label,smpr_attempts,internal_lightsabre_swap,internal_lightsabre_depth,internal_lightsabre_budget_ms,independent_rollout_swap,independent_rollout_depth,cross_layout_attempts,variant,routing_trace_valid,topology_valid,safe_quality_floor,budget_multiplier,lightsabre_elapsed_ms,lightsabre_trials,lightsabre_swap,lightsabre_depth,lightsabre_best_seed,lightsabre_peak_rss_bytes,swap_gap_smpr_minus_lightsabre
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,37280.472600017674,103809024,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,367.4720001872629,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,9333.75570003409,512,105,682,98,77012992,-13
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,37280.472600017674,103809024,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,367.4720001872629,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,18646.764799952507,1025,102,709,833,77012992,-10
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,37280.472600017674,103809024,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,367.4720001872629,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,37295.223199995235,2047,101,691,2027,77012992,-9
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,37280.472600017674,103809024,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,367.4720001872629,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,74575.6495000096,4073,100,688,3423,77012992,-8
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,616.0913000348955,77033472,16,73,lightsabre,lightsabre:seed3,26,16,73,123.38700029067695,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,159.9782999837771,23,16,73,3,74018816,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,616.0913000348955,77033472,16,73,lightsabre,lightsabre:seed3,26,16,73,123.38700029067695,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,309.9228999344632,47,16,73,3,74018816,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,616.0913000348955,77033472,16,73,lightsabre,lightsabre:seed3,26,16,73,123.38700029067695,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,617.3625999363139,98,14,73,63,74018816,2
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,616.0913000348955,77033472,16,73,lightsabre,lightsabre:seed3,26,16,73,123.38700029067695,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,1237.175300018862,195,14,73,63,74018816,2
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,296.16849997546524,73945088,8,39,lightsabre,lightsabre:seed19,26,8,39,108.69149991776794,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,132.24950002040714,20,8,39,19,73949184,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,296.16849997546524,73945088,8,39,lightsabre,lightsabre:seed19,26,8,39,108.69149991776794,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,153.51669990923256,24,8,39,19,73949184,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,296.16849997546524,73945088,8,39,lightsabre,lightsabre:seed19,26,8,39,108.69149991776794,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,296.3576000183821,52,8,39,19,73949184,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,296.16849997546524,73945088,8,39,lightsabre,lightsabre:seed19,26,8,39,108.69149991776794,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,594.2295999266207,107,8,38,103,73949184,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,33071.797699900344,101380096,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,324.86679987050593,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,8279.306899989024,458,92,456,248,78352384,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,33071.797699900344,101380096,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,324.86679987050593,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,16554.216900025494,923,91,497,894,78352384,1
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,33071.797699900344,101380096,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,324.86679987050593,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,33078.541399911046,1843,90,497,1251,78352384,2
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,33071.797699900344,101380096,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,324.86679987050593,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,66147.58749993052,3697,90,460,2981,78352384,2
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2078.2181000104174,84049920,0,172,lightsabre,lightsabre:seed1,31,0,172,156.50090062990785,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.25,524.7726000379771,48,0,172,1,83951616,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2078.2181000104174,84049920,0,172,lightsabre,lightsabre:seed1,31,0,172,156.50090062990785,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.5,1039.7609000792727,98,0,172,1,83951616,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2078.2181000104174,84049920,0,172,lightsabre,lightsabre:seed1,31,0,172,156.50090062990785,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,1.0,2084.5929000061005,202,0,172,1,83951616,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2078.2181000104174,84049920,0,172,lightsabre,lightsabre:seed1,31,0,172,156.50090062990785,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,2.0,4156.44550009165,402,0,172,1,83951616,0
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,4171.223100041971,84267008,36,241,independent_rollout,native:early,26,42,267,190.1981997070834,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,1046.337699983269,100,37,260,85,81453056,-1
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,4171.223100041971,84267008,36,241,independent_rollout,native:early,26,42,267,190.1981997070834,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,2093.2052000425756,204,37,260,85,81453056,-1
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,4171.223100041971,84267008,36,241,independent_rollout,native:early,26,42,267,190.1981997070834,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,4177.075600018725,399,37,260,85,81453056,-1
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,4171.223100041971,84267008,36,241,independent_rollout,native:early,26,42,267,190.1981997070834,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,8349.145599990152,802,37,260,85,81453056,-1
2,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,630.3201999980956,79482880,14,64,lightsabre,lightsabre:seed12,26,14,64,116.64099956396967,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,162.71049994975328,29,14,64,12,79396864,0
