case,baseline,best_new,gain,improved,mapping
blind_v6_062_r1_line_n8_uniform_f12_cx96,83,83,0,False,"3,7,4,2,1,6,0,5"
blind_v6_064_r1_line_n8_far_f6_cx48,19,21,0,False,"4,6,2,0,7,5,3,1"
blind_v6_065_r1_line_n10_far_f12_cx120,98,99,0,False,"7,2,4,8,1,9,0,5,6,3"
blind_v6_066_r1_line_n8_phase_shift_f3_cx24,14,14,0,False,"3,4,0,6,7,2,1,5"
blind_v6_067_r1_line_n10_phase_shift_f6_cx60,50,50,0,False,"4,2,0,8,9,6,5,1,3,7"
blind_v6_069_r1_line_n10_alternating_f3_cx30,21,21,0,False,"0,1,5,4,8,9,7,6,2,3"
blind_v6_071_r1_line_n8_alternating_f12_cx96,70,70,0,False,"4,0,1,7,6,5,2,3"
blind_v6_073_r1_line_n8_parallel_layers_f6_cx48,43,43,0,False,"3,4,0,7,2,6,5,1"
blind_v6_074_r1_line_n10_parallel_layers_f12_cx120,155,157,0,False,"2,0,6,9,4,8,7,1,3,5"
blind_v6_075_r1_ring_n10_uniform_f3_cx30,16,16,0,False,"2,0,4,5,6,3,1,8,9,7"
blind_v6_077_r1_ring_n8_uniform_f12_cx96,65,65,0,False,"1,4,7,3,6,0,5,2"
blind_v6_079_r1_ring_n8_far_f6_cx48,15,15,0,False,"4,7,6,1,3,5,0,2"
blind_v6_080_r1_ring_n10_far_f12_cx120,61,61,0,False,"7,9,3,1,5,6,8,0,4,2"
blind_v6_081_r1_ring_n8_phase_shift_f3_cx24,5,5,0,False,"0,6,4,3,1,7,5,2"
blind_v6_082_r1_ring_n10_phase_shift_f6_cx60,26,27,0,False,"9,8,2,5,0,7,3,4,1,6"
blind_v6_084_r1_ring_n10_alternating_f3_cx30,22,22,0,False,"3,1,6,0,5,2,9,8,7,4"
blind_v6_086_r1_ring_n8_alternating_f12_cx96,53,53,0,False,"3,5,2,7,4,6,0,1"
blind_v6_088_r1_ring_n8_parallel_layers_f6_cx48,21,21,0,False,"7,2,1,0,4,5,6,3"
blind_v6_089_r1_ring_n10_parallel_layers_f12_cx120,87,87,0,False,"9,2,0,5,3,8,1,4,7,6"
blind_v6_090_r1_grid_n10_uniform_f3_cx30,13,14,0,False,"5,4,3,2,0,6,1,7,9,8"
blind_v6_092_r1_grid_n8_uniform_f12_cx96,39,39,0,False,"7,0,4,2,6,5,3,1"
blind_v6_094_r1_grid_n8_far_f6_cx48,6,6,0,False,"6,3,4,5,0,1,7,2"
blind_v6_095_r1_grid_n10_far_f12_cx120,30,31,0,False,"2,0,6,9,3,7,8,4,1,5"
blind_v6_096_r1_grid_n8_phase_shift_f3_cx24,4,4,0,False,"5,0,7,6,3,2,4,1"
blind_v6_097_r1_grid_n10_phase_shift_f6_cx60,17,19,0,False,"0,4,7,9,6,8,1,5,3,2"
blind_v6_099_r1_grid_n10_alternating_f3_cx30,9,10,0,False,"2,0,1,8,9,6,7,4,3,5"
blind_v6_101_r1_grid_n8_alternating_f12_cx96,32,32,0,False,"4,7,0,1,2,6,5,3"
blind_v6_103_r1_grid_n8_parallel_layers_f6_cx48,15,16,0,False,"0,3,7,4,6,5,2,1"
blind_v6_104_r1_grid_n10_parallel_layers_f12_cx120,64,66,0,False,"5,6,4,2,7,8,3,0,1,9"
blind_v6_105_r1_random_n10_uniform_f3_cx30,9,7,2,True,"6,3,0,1,9,5,4,8,2,7"
blind_v6_107_r1_random_n8_uniform_f12_cx96,30,30,0,False,"0,3,5,2,6,7,4,1"
blind_v6_109_r1_random_n8_far_f6_cx48,5,5,0,False,"0,5,6,4,1,7,3,2"
blind_v6_110_r1_random_n10_far_f12_cx120,20,20,0,False,"9,5,7,6,3,8,0,1,4,2"
blind_v6_111_r1_random_n8_phase_shift_f3_cx24,5,5,0,False,"5,3,7,1,6,4,0,2"
blind_v6_112_r1_random_n10_phase_shift_f6_cx60,12,13,0,False,"8,4,9,0,6,5,3,1,7,2"
blind_v6_114_r1_random_n10_alternating_f3_cx30,8,8,0,False,"8,2,0,6,1,3,9,7,5,4"
blind_v6_116_r1_random_n8_alternating_f12_cx96,32,31,1,True,"2,7,1,0,6,3,4,5"
blind_v6_118_r1_random_n8_parallel_layers_f6_cx48,11,12,0,False,"7,2,3,0,6,1,4,5"
blind_v6_119_r1_random_n10_parallel_layers_f12_cx120,66,69,0,False,"9,1,3,8,7,2,4,6,0,5"
