case,baseline,best_new,gain,improved,mapping
blind_v6_000_r0_line_n8_uniform_f3_cx24,18,18,0,False,"7,0,4,1,5,2,3,6"
blind_v6_001_r0_line_n10_uniform_f6_cx60,75,77,0,False,"9,3,5,1,0,7,6,2,8,4"
blind_v6_003_r0_line_n10_far_f3_cx30,13,13,0,False,"1,4,6,8,5,0,3,2,9,7"
blind_v6_005_r0_line_n8_far_f12_cx96,57,57,0,False,"6,4,2,0,7,5,3,1"
blind_v6_007_r0_line_n8_phase_shift_f6_cx48,20,20,0,False,"5,2,3,1,0,7,6,4"
blind_v6_008_r0_line_n10_phase_shift_f12_cx120,93,91,2,True,"3,7,5,1,0,2,8,4,9,6"
blind_v6_009_r0_line_n8_alternating_f3_cx24,13,13,0,False,"6,5,2,0,1,3,4,7"
blind_v6_010_r0_line_n10_alternating_f6_cx60,61,61,0,False,"5,3,2,9,1,7,0,6,4,8"
blind_v6_012_r0_line_n10_parallel_layers_f3_cx30,19,21,0,False,"9,4,5,1,0,2,8,6,7,3"
blind_v6_014_r0_line_n8_parallel_layers_f12_cx96,87,87,0,False,"3,6,4,5,1,0,2,7"
blind_v6_015_r0_ring_n8_uniform_f3_cx24,17,17,0,False,"0,4,2,7,3,1,5,6"
blind_v6_016_r0_ring_n10_uniform_f6_cx60,50,51,0,False,"7,0,1,3,4,6,9,8,2,5"
blind_v6_018_r0_ring_n10_far_f3_cx30,13,13,0,False,"6,8,1,2,4,7,9,0,3,5"
blind_v6_020_r0_ring_n8_far_f12_cx96,31,31,0,False,"5,4,2,7,6,3,0,1"
blind_v6_022_r0_ring_n8_phase_shift_f6_cx48,15,15,0,False,"5,4,2,0,6,1,3,7"
blind_v6_023_r0_ring_n10_phase_shift_f12_cx120,59,59,0,False,"4,9,0,7,5,3,2,8,1,6"
blind_v6_024_r0_ring_n8_alternating_f3_cx24,12,12,0,False,"6,7,0,2,3,5,1,4"
blind_v6_025_r0_ring_n10_alternating_f6_cx60,47,47,0,False,"1,0,6,3,4,8,9,5,2,7"
blind_v6_027_r0_ring_n10_parallel_layers_f3_cx30,17,17,0,False,"1,0,7,2,8,4,3,9,5,6"
blind_v6_029_r0_ring_n8_parallel_layers_f12_cx96,51,51,0,False,"0,2,3,1,6,5,4,7"
blind_v6_030_r0_grid_n8_uniform_f3_cx24,10,9,1,True,"0,5,2,3,7,1,4,6"
blind_v6_031_r0_grid_n10_uniform_f6_cx60,26,26,0,False,"4,1,7,0,6,5,9,2,3,8"
blind_v6_033_r0_grid_n10_far_f3_cx30,2,2,0,False,"1,5,7,2,4,8,3,9,0,6"
blind_v6_035_r0_grid_n8_far_f12_cx96,15,15,0,False,"2,7,4,0,5,1,3,6"
blind_v6_037_r0_grid_n8_phase_shift_f6_cx48,10,10,0,False,"1,6,3,0,2,4,7,5"
blind_v6_038_r0_grid_n10_phase_shift_f12_cx120,37,38,0,False,"5,6,9,0,3,2,7,4,1,8"
blind_v6_039_r0_grid_n8_alternating_f3_cx24,7,7,0,False,"6,4,1,3,2,5,7,0"
blind_v6_040_r0_grid_n10_alternating_f6_cx60,24,24,0,False,"7,5,6,4,2,1,8,9,0,3"
blind_v6_042_r0_grid_n10_parallel_layers_f3_cx30,11,11,0,False,"9,6,8,2,4,7,3,0,5,1"
blind_v6_044_r0_grid_n8_parallel_layers_f12_cx96,39,37,2,True,"7,2,5,3,1,6,0,4"
blind_v6_045_r0_random_n8_uniform_f3_cx24,4,4,0,False,"1,4,7,2,6,5,3,0"
blind_v6_046_r0_random_n10_uniform_f6_cx60,30,31,0,False,"5,9,1,4,3,0,7,8,2,6"
blind_v6_048_r0_random_n10_far_f3_cx30,5,5,0,False,"5,0,7,9,6,3,4,8,1,2"
blind_v6_050_r0_random_n8_far_f12_cx96,16,16,0,False,"5,2,0,1,3,6,7,4"
blind_v6_052_r0_random_n8_phase_shift_f6_cx48,8,8,0,False,"3,6,2,1,7,5,0,4"
blind_v6_053_r0_random_n10_phase_shift_f12_cx120,32,32,0,False,"5,8,4,2,0,3,1,9,7,6"
blind_v6_054_r0_random_n8_alternating_f3_cx24,4,5,0,False,"1,3,5,7,6,2,0,4"
blind_v6_055_r0_random_n10_alternating_f6_cx60,16,16,0,False,"6,4,7,9,1,0,5,8,2,3"
blind_v6_057_r0_random_n10_parallel_layers_f3_cx30,11,11,0,False,"3,0,4,2,1,8,7,5,9,6"
blind_v6_059_r0_random_n8_parallel_layers_f12_cx96,30,30,0,False,"2,3,6,4,0,7,1,5"
blind_v6_060_r1_line_n10_uniform_f3_cx30,27,27,0,False,"5,1,2,3,6,8,4,0,9,7"
